column	class	nn	uniquevals	isnum	frc_int	n_nonmissing	n_missing	frc_missing	n_nonrepeat	frc_nonrepeat	top3	frc_mostcommon	md5	c_empty	c_uninformative	c_ordinal	c_tm	c_tf	c_numeric	c_factor	c_safe	c_safetf	c_safenumeric	c_complex	c_reistetter	c_schmidt	c_lin	c_notin2013	c_domainexpert	c_pct	c_total	c_byarea	c_per1k	c_median	c_medianhh	c_meanhh	c_percap	c_factorarea	c_SDI	c_ADI
ACS_PCT_PRIVATE_ANY64	numeric	1711	1711	TRUE	0.001168907071888	1711	0	0	1711	1	"""64.954""; ""80.772""; ""94.186"""	0.000584453535944	f565b1e53942f66d03914b6cd89f153f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_UNINSURED64	numeric	1711	1711	TRUE	0.000584453535944	1711	0	0	1711	1	"""9.536""; ""11.746""; ""12.549"""	0.000584453535944	5f74bbfda5a77b7d38ef9d0b04482642	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										
ACS_PCT_PRIVATE_EMPL64	numeric	1711	1710	TRUE	0.002922267679719	1711	0	0	1709	0.998831092928112	"""750.026""; ""55.045""; ""64.081"""	0.001168907071888	49014b337daa1a7787adacf4249d413e	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PRIVATE_SELF64	numeric	1711	1706	TRUE	0.001753360607832	1711	0	0	1701	0.994155464640561	"""7.07""; ""26.191""; ""32.162"""	0.001168907071888	93117413a80eddc2aabbbf3ee748ee19	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_TRICARE_VA64	numeric	1711	1691	TRUE	0.002337814143776	1711	0	0	1671	0.976621858562244	"""0""; ""4.805""; ""4.852"""	0.001168907071888	7f84c97b7d3ffcde43c180a66f63d7e4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
CCBP_RATE_BWLSTORES_PER_1000	numeric	1711	1575	TRUE	0.077732320280538	1711	0	0	1570	0.917592051431911	"""0""; ""0.0939319932368965""; ""0.182182546912006"""	0.077732320280538	c12f84893639b5a0edef7abdb38c65b2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_CFHEORS_PER_1000	numeric	1711	676	TRUE	0.561659848042081	1711	0	0	615	0.359438924605494	"""0""; ""0.0353494291067199""; ""0.0407481357727884"""	0.561659848042081	fd24a5b6475b1fa0b61ccc74079367ed	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_CFS_PER_1000	numeric	1711	1246	TRUE	0.25073056691993	1711	0	0	1208	0.706019871420222	"""0""; ""0.0918948722661275""; ""0.0130770236694128"""	0.250146113383986	4813ff6d4e9cee517a01288197cc5411	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_CHS_PER_1000	numeric	1711	1041	TRUE	0.360023378141438	1711	0	0	991	0.579193454120397	"""0""; ""0.0405367059872715""; ""0.0909918107370337"""	0.360023378141438	8dbfdad19a4fe574ee8c21197e742b2e	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_CS_PER_1000	numeric	1711	1702	TRUE	0.005844535359439	1711	0	0	1701	0.994155464640561	"""0""; ""0.150761344791196""; ""0.224971878515186"""	0.005844535359439	2a40acab1415129772ee2f39aae101a4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_FCRSC_PER_1000	numeric	1711	1531	TRUE	0.101110461718293	1711	0	0	1522	0.889538281706604	"""0""; ""0.0246141728407217""; ""0.031085827971028"""	0.101110461718293	a4a4708db77dd263d781d597d40a75d0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_FF_PER_1000	numeric	1711	1674	TRUE	0.022209234365868	1711	0	0	1673	0.977790765634132	"""0""; ""0.172349409703272""; ""0.177022481855196"""	0.022209234365868	22b6a01a4a5975c5161b6a1789f1b21d	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_FSR_PER_1000	numeric	1711	1695	TRUE	0.008766803039158	1711	0	0	1692	0.988895382817066	"""0""; ""0.233154581487526""; ""1.15074798619102"""	0.008766803039158	2813f9e7d0d8bb9b4fabfe065b4571d0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_GAMBLING_PER_1000	numeric	1711	737	TRUE	0.529514903565167	1711	0	0	676	0.395090590298071	"""0""; ""0.0754432289701999""; ""0.0774053719328121"""	0.529514903565167	7d22307533e9ab7bdc14cf83f2226137	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_SFS_PER_1000	numeric	1711	1496	TRUE	0.122735242548217	1711	0	0	1489	0.870251315020456	"""0""; ""0.119803522223553""; ""0.166140554909453"""	0.122735242548217	ad1433ab92300a417995b6a382502f0c	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_SHELTERS_PER_1000	numeric	1711	993	TRUE	0.395675043834015	1711	0	0	959	0.560490940970193	"""0""; ""6.99300699300699""; ""4.27350427350427"""	0.395675043834015	6bd17e1b3456ee003bdb9a04bdfaa3cb	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
CCBP_RATE_SOGS_PER_1000	numeric	1711	1684	TRUE	0.016364699006429	1711	0	0	1683	0.983635300993571	"""0""; ""0.0283478852477605""; ""0.059343659130022"""	0.016364699006429	035f75a644b61f9bd508b4085d23f856	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
RSR	numeric	1711	1711	TRUE	0	1711	0	0	1711	1	"""1.0407350742""; ""1.0521535096""; ""1.0534016052"""	0.000584453535944	4da7d6b00d27d6b323488b9fdb75b17b	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE									TRUE							
ACS_PCT_BROADBAND																											TRUE	TRUE	TRUE	TRUE										
ACS_PCT_INTERNET																											TRUE	TRUE	TRUE	TRUE										
ACS_PCT_SMARTPHONE																											TRUE	TRUE	TRUE	TRUE										
